level_0,Serial Number,Deposits 2016
339.0,2279,20129
340.0,3630,20165
341.0,3118,20340
342.0,3119,20340
343.0,3159,20340
344.0,3486,20357
346.0,2407,20433
347.0,2929,20433
345.0,2688,20433
348.0,3621,20440
349.0,3622,20440
350.0,3142,20464
351.0,3224,20484
352.0,3417,20484
353.0,3309,20484
358.0,2948,20538
357.0,3061,20538
355.0,3012,20538
354.0,2985,20538
356.0,3079,20538
359.0,3684,20542
360.0,2105,20669
361.0,63,20669
362.0,3147,20699
363.0,3056,20699
364.0,3218,20725
365.0,3295,20725
366.0,3571,20736
367.0,3554,20736
368.0,1051,20746
369.0,3328,20825
370.0,540,20868
371.0,2575,21108
372.0,3771,21241
373.0,585,21264
374.0,979,21269
375.0,2340,21358
376.0,276,21423
377.0,3613,21519
378.0,3655,21519
379.0,3702,21519
380.0,226,21568
385.0,490,21664
384.0,2019,21664
382.0,3180,21664
381.0,528,21664
383.0,3251,21664
386.0,2365,21814
387.0,3423,21905
388.0,3268,21905
389.0,3246,21905
390.0,3760,21968
392.0,2404,21996
391.0,2889,21996
393.0,3468,22140
394.0,554,22158
395.0,1076,22299
396.0,2672,22299
397.0,1171,22334
398.0,2915,22334
399.0,3113,22388
400.0,2433,22476
401.0,1174,22476
402.0,2751,22507
403.0,3308,22582
404.0,2690,22643
405.0,3478,22650
406.0,3692,22651
407.0,3472,22714
410.0,3210,22759
409.0,3238,22759
408.0,3366,22759
411.0,3540,22791
412.0,3537,22791
413.0,126,22820
414.0,64,22820
415.0,2632,22862
416.0,132,22862
418.0,3654,22876
417.0,3637,22876
419.0,45,22988
420.0,2695,23006
421.0,3014,23010
422.0,2584,23010
423.0,3534,23016
424.0,2842,23067
425.0,3567,23085
427.0,3570,23167
426.0,3573,23167
428.0,3383,23228
429.0,3402,23228
430.0,3271,23241
431.0,3463,23397
432.0,2971,23443
433.0,2325,23443
434.0,2952,23443
435.0,332,23446
436.0,3513,23554
437.0,3473,23554
438.0,3269,23560
439.0,2733,23698
440.0,2622,23762
441.0,2317,23789
442.0,2301,23789
443.0,2721,23789
444.0,321,23813
445.0,3670,23880
446.0,265,23942
447.0,3216,23957
448.0,3283,23957
449.0,3339,23957
450.0,3368,23957
451.0,3235,23957
452.0,3229,23957
453.0,3302,23957
454.0,3416,23957
455.0,1097,24077
456.0,2594,24077
457.0,850,24130
458.0,2351,24130
459.0,914,24130
461.0,2828,24139
462.0,3042,24139
460.0,2391,24139
463.0,3254,24208
464.0,3409,24208
465.0,3425,24208
466.0,2859,24212
467.0,2676,24212
468.0,3606,24274
469.0,2957,24294
470.0,2215,24354
471.0,1003,24356
472.0,1159,24405
473.0,3324,24424
474.0,3241,24424
475.0,3205,24424
476.0,3227,24424
477.0,3396,24424
483.0,3041,24474
481.0,1166,24474
482.0,122,24474
479.0,685,24474
478.0,1982,24474
480.0,234,24474
484.0,2726,24518
485.0,3373,24579
486.0,3363,24579
487.0,2395,24609
488.0,2364,24609
489.0,3465,24627
490.0,3460,24627
491.0,288,24671
492.0,999,24705
493.0,689,24705
494.0,2563,24708
495.0,3095,24760
496.0,713,24767
497.0,2116,24899
498.0,3764,24944
499.0,2897,24969
500.0,645,24969
501.0,2459,24969
502.0,673,24969
503.0,499,24969
504.0,2742,24972
505.0,2629,24972
506.0,3109,24978
507.0,3114,24978
508.0,3189,24978
509.0,1008,25138
510.0,2558,25142
511.0,2771,25309
512.0,2154,25325
515.0,3129,25406
516.0,3124,25406
513.0,3149,25406
514.0,3131,25406
517.0,138,25466
518.0,2718,25476
519.0,3611,25477
520.0,104,25494
521.0,3738,25559
522.0,2759,25565
523.0,3462,25603
524.0,997,25609
525.0,2702,25629
526.0,2893,25629
527.0,916,25629
528.0,381,25629
529.0,255,25629
530.0,3010,25708
531.0,3018,25708
534.0,2013,25726
533.0,2003,25726
532.0,2881,25726
535.0,3333,25756
536.0,3327,25756
537.0,3730,25774
538.0,2174,25796
539.0,2377,25859
540.0,717,25876
544.0,2071,25882
543.0,2588,25882
542.0,2405,25882
541.0,2354,25882
545.0,3467,25949
546.0,3261,25949
547.0,2926,25968
548.0,2621,25987
549.0,3017,25987
550.0,2570,26005
554.0,759,26037
